,,NOMBRE,EQUIPO,ASISTENCIAS,PARTIDOS JUGADOS,ASISTENCIAS POR PARTIDO
1,,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,8,17,0.47
2,,LUIS MILLA,GETAFE CF,7,20,0.35
2,,ARDA GÜLER,REAL MADRID,7,21,0.33
4,,MARCUS RASHFORD,FC BARCELONA,6,19,0.32
4,,FEDERICO VALVERDE,REAL MADRID,6,20,0.30
6,,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,5,16,0.31
6,,EDU EXPÓSITO,RCD ESPANYOL DE BARCELONA,5,20,0.25
6,,GIULIANO SIMEONE,ATLÉTICO DE MADRID,5,20,0.25
6,,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,5,21,0.24
10,,FERMÍN LÓPEZ,FC BARCELONA,4,15,0.27
10,,MARTIM CARVALHO NETO,ELCHE CF,4,17,0.24
10,,ÁLVARO RODRÍGUEZ,ELCHE CF,4,18,0.22
10,,PABLO FORNALS,REAL BETIS,4,21,0.19
10,,RUBÉN GARCÍA,CA OSASUNA,4,19,0.21
10,,KYLIAN MBAPPÉ,REAL MADRID,4,20,0.20
10,,RUBÉN VARGAS,SEVILLA FC,4,13,0.31
10,,JAN VIRGILI,RCD MALLORCA,4,16,0.25
10,,ANTONY MATHEUS DOS SANTOS,REAL BETIS,4,16,0.25
19,,SERGI CARDONA,VILLARREAL CF,3,16,0.19
19,,ALBERTO MOLEIRO,VILLARREAL CF,3,20,0.15
